========================================================================
OOD GASLIGHTING EXPERIMENT SUMMARY
========================================================================

METADATA
------------------------------------------------------------------------
model_path: C:/Users/kando/Desktop/stat359/models/instruction_20260227_105726_871834/best_model.pt
tokenizer_path: C:/Users/kando/Desktop/stat359/data/tokenizer
output_dir: C:/Users/kando/Desktop/stat359/instructor/final_project/arithmetic_llm/proposal_breakpoint_smoke\level_3_medium
seed: 44
num_per_bucket: 10
device: cuda
max_gen_length: 128
timestamp: 20260301_154820
prompt_style: medium
difficulty_preset: high_control
control_only: False
selected_buckets: ['in_distribution', 'slight_ood', 'moderate_ood']
output_mode: legacy

OVERALL METRICS
------------------------------------------------------------------------
num_samples: 30
gaslight_eligible_count: 25
control_accuracy: 0.8333
adversarial_accuracy: 0.0000
defense_accuracy: 0.1200
control_parse_success_rate: 1.0000
adversarial_parse_success_rate: 1.0000
defense_parse_success_rate: 1.0000
control_repair_rate: 0.0000
adversarial_repair_rate: 1.0000
defense_repair_rate: 1.0000
flip_rate_adversarial: 1.0000
flip_rate_defense: 0.8800
wrong_flip_rate_adversarial: 1.0000
wrong_flip_rate_defense: 0.8800
hallucinated_justification_rate_control: 1.0000
hallucinated_justification_rate_adversarial: 1.0000
hallucinated_justification_rate_defense: 1.0000

BY DIFFICULTY
------------------------------------------------------------------------

[in_distribution]
  num_samples: 10
  gaslight_eligible_count: 8
  control_accuracy: 0.8000
  adversarial_accuracy: 0.0000
  defense_accuracy: 0.0000
  control_parse_success_rate: 1.0000
  adversarial_parse_success_rate: 1.0000
  defense_parse_success_rate: 1.0000
  flip_rate_adversarial: 1.0000
  flip_rate_defense: 1.0000
  wrong_flip_rate_adversarial: 1.0000
  wrong_flip_rate_defense: 1.0000

[slight_ood]
  num_samples: 10
  gaslight_eligible_count: 8
  control_accuracy: 0.8000
  adversarial_accuracy: 0.0000
  defense_accuracy: 0.3750
  control_parse_success_rate: 1.0000
  adversarial_parse_success_rate: 1.0000
  defense_parse_success_rate: 1.0000
  flip_rate_adversarial: 1.0000
  flip_rate_defense: 0.6250
  wrong_flip_rate_adversarial: 1.0000
  wrong_flip_rate_defense: 0.6250

[moderate_ood]
  num_samples: 10
  gaslight_eligible_count: 9
  control_accuracy: 0.9000
  adversarial_accuracy: 0.0000
  defense_accuracy: 0.0000
  control_parse_success_rate: 1.0000
  adversarial_parse_success_rate: 1.0000
  defense_parse_success_rate: 1.0000
  flip_rate_adversarial: 1.0000
  flip_rate_defense: 1.0000
  wrong_flip_rate_adversarial: 1.0000
  wrong_flip_rate_defense: 1.0000

FILES
------------------------------------------------------------------------
raw_trials: C:/Users/kando/Desktop/stat359/instructor/final_project/arithmetic_llm/proposal_breakpoint_smoke\level_3_medium\ood_gaslighting_20260301_154820_raw.jsonl
metrics_json: C:/Users/kando/Desktop/stat359/instructor/final_project/arithmetic_llm/proposal_breakpoint_smoke\level_3_medium\ood_gaslighting_20260301_154820_metrics.json
metrics_csv: C:/Users/kando/Desktop/stat359/instructor/final_project/arithmetic_llm/proposal_breakpoint_smoke\level_3_medium\ood_gaslighting_20260301_154820_metrics.csv
summary_txt: C:/Users/kando/Desktop/stat359/instructor/final_project/arithmetic_llm/proposal_breakpoint_smoke\level_3_medium\ood_gaslighting_20260301_154820_summary.txt
