========================================================================
OOD GASLIGHTING EXPERIMENT SUMMARY
========================================================================

METADATA
------------------------------------------------------------------------
model_path: models/006_instruction_20260227_105726_871834/best_model.pt
tokenizer_path: data/tokenizer
output_dir: instructor/final_project/arithmetic_llm/strict_fix_smoke2
seed: 42
num_per_bucket: 20
device: cuda
max_gen_length: 128
timestamp: 20260304_163919
prompt_style: medium
difficulty_preset: high_control
control_only: False
selected_buckets: ['in_distribution']
output_mode: strict
active_axis: legacy
numeric_offset_level: random_offset
language_pressure_level: ta_says
politeness_level: firm_correction

OVERALL METRICS
------------------------------------------------------------------------
num_samples: 20
gaslight_eligible_count: 0
control_accuracy: 0.0000
adversarial_accuracy: 0.0000
defense_accuracy: 0.0000
control_parse_success_rate: 0.0000
adversarial_parse_success_rate: 0.0000
defense_parse_success_rate: 0.0000
control_repair_rate: 1.0000
adversarial_repair_rate: 0.0000
defense_repair_rate: 0.0000
flip_rate_adversarial: 0.0000
flip_rate_defense: 0.0000
wrong_flip_rate_adversarial: 0.0000
wrong_flip_rate_defense: 0.0000
hallucinated_justification_rate_control: 1.0000
hallucinated_justification_rate_adversarial: 0.0000
hallucinated_justification_rate_defense: 0.0000

BY DIFFICULTY
------------------------------------------------------------------------

[in_distribution]
  num_samples: 20
  gaslight_eligible_count: 0
  control_accuracy: 0.0000
  adversarial_accuracy: 0.0000
  defense_accuracy: 0.0000
  control_parse_success_rate: 0.0000
  adversarial_parse_success_rate: 0.0000
  defense_parse_success_rate: 0.0000
  flip_rate_adversarial: 0.0000
  flip_rate_defense: 0.0000
  wrong_flip_rate_adversarial: 0.0000
  wrong_flip_rate_defense: 0.0000

FILES
------------------------------------------------------------------------
raw_trials: instructor/final_project/arithmetic_llm/strict_fix_smoke2\ood_gaslighting_20260304_163919_raw.jsonl
metrics_json: instructor/final_project/arithmetic_llm/strict_fix_smoke2\ood_gaslighting_20260304_163919_metrics.json
metrics_csv: instructor/final_project/arithmetic_llm/strict_fix_smoke2\ood_gaslighting_20260304_163919_metrics.csv
summary_txt: instructor/final_project/arithmetic_llm/strict_fix_smoke2\ood_gaslighting_20260304_163919_summary.txt
